用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
y***x,,"<div class=""comment-star star1""></div>",有假货，那个包装撕开的感觉都不一样,水润保湿面膜,,,,,2019-07-20 11:21
f***a,PLUS会员,"<div class=""comment-star star1""></div>",买了两盒，其中一盒的包装是拆开的,水润保湿面膜10片,2017-05-31 15:06,,,,
本***我,,"<div class=""comment-star star1""></div>",这一款还行胶原蛋白的过敏,【热销爆款】水润保湿面膜,,,,,2019-11-28 13:12
****2,,"<div class=""comment-star star1""></div>",包装破损，不知道是不是正品,,,,【热销爆款】水润保湿面膜10片,2020-05-16 14:39,
岚***6,PLUS会员,"<div class=""comment-star star1""></div>",假货，和我之前在北京买的不一样,【热销爆款】水润保湿面膜10片,,,,,2020-04-02 22:00
冰***熊,,"<div class=""comment-star star1""></div>",不是正品，还不让人说哦，卖*货***,水润保湿面膜10片,2017-07-08 13:14,,,,
刘***1,PLUS会员,"<div class=""comment-star star1""></div>",刚买完就降价10块，价保只给了1块钱,水润保湿面膜,,,,,2018-11-03 11:22
u***6,,"<div class=""comment-star star1""></div>",其他特色：敏感肌，慎买。花钱找罪受,【热销爆款】水润保湿面膜,,,,,2019-11-03 22:09
****e,,"<div class=""comment-star star1""></div>",补水效果：假的，跟之前买的不一样,水润保湿面膜,,,,,2019-10-20 23:55
****i,PLUS会员,"<div class=""comment-star star1""></div>",贴上之后脸上针扎的似的疼,【热销爆款】水润保湿面膜,,,,,2019-11-24 23:22
s***9,,"<div class=""comment-star star1""></div>",用过之后没有感觉皮肤水嫩,【热销爆款】水润保湿面膜10片,,,,,2019-12-14 23:43
****4,,"<div class=""comment-star star1""></div>",用了长痘，送来时盒子都坏了,水润保湿面膜10片,2018-09-09 22:52,,,,
A***恋,,"<div class=""comment-star star1""></div>",寄回来都压扁完了，都不用盒子装下,水润保湿面膜,,,,,2019-07-17 13:12
寻***-,PLUS会员,"<div class=""comment-star star1""></div>",刚买完就降价了还降了很多,水润保湿面膜10片,,,,,
u***r,,"<div class=""comment-star star1""></div>",盒子打开的！怎么运输也不至于全撕开吧,,,2017-12-13 12:20,水润保湿面膜10片,,
****p,PLUS会员,"<div class=""comment-star star1""></div>",东西还没收到，不知道怎么就确认收货了,水润保湿面膜10片,2017-07-12 21:32,,,,
夹***盗,PLUS会员,"<div class=""comment-star star1""></div>",包装不负责任，到货打开盒子都散了。,,,2017-08-06 12:35,水润保湿面膜10片,,
酷***惹,,"<div class=""comment-star star1""></div>",才买就降价，服了，还是厚的，,,,2017-09-12 22:53,水润保湿面膜10片,,
****0,,"<div class=""comment-star star1""></div>",包装都是坏了的而且跟之前买的不一样,,,2017-11-13 21:24,水润保湿面膜10片,,
Y***a,PLUS会员,"<div class=""comment-star star1""></div>",京东送过来的竟然这个样子可以投诉吗,,,2017-10-16 20:07,水润保湿面膜10片,,
陈***英,,"<div class=""comment-star star1""></div>",包装破损，无法安心放心使用……,,,2018-06-20 17:18,水润保湿面膜10片,,
x***9,PLUS会员,"<div class=""comment-star star1""></div>",送过来的封条都拆了换了两次都是这样,水润保湿面膜10片,2018-07-20 09:13,,,,
c***W,,"<div class=""comment-star star1""></div>",和我在韩国买的不一样，难道便宜没好货！,水润保湿面膜10片,2017-08-07 11:57,,,,
墨***泪,PLUS会员,"<div class=""comment-star star1""></div>",送过来盒子都破成这样了，怎么送人！,,,,【热销爆款】水润保湿面膜,2019-11-14 13:11,
