用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
d***e,PLUS会员,"<div class=""comment-star star1""></div>",收到货包装是被拆开的，联系客服，客服踢皮球,水润保湿面膜,,,,,2019-09-25 13:06
u***3,,"<div class=""comment-star star1""></div>",不好用折后跟**一样的价还什么活动价,水润保湿面膜10片,2017-06-19 21:44,,,,
x***6,PLUS会员,"<div class=""comment-star star1""></div>",买的时候，明明写的买四送一，收到没有,【补水保湿】水润面膜,2020-11-12 09:37,,,,
宋***啊,,"<div class=""comment-star star1""></div>",不知道为啥一打开快递发现面膜已经被打开过,【热销爆款】水润保湿面膜10片,,,,,2020-02-11 13:55
****a,,"<div class=""comment-star star1""></div>",比较满意，但不知道是否正品,水润保湿面膜10片,2016-12-04 23:59,,,,
****x,PLUS会员,"<div class=""comment-star star1""></div>",产品用后两天过敏的好厉害,,,2020-10-08 07:36,【补水保湿】水润面膜,,
素***滴,,"<div class=""comment-star star1""></div>",感觉不像正品呢！盒子像a4纸一样软,水润保湿面膜,,,,,2019-08-10 00:07
中***1,PLUS会员,"<div class=""comment-star star1""></div>",送来外包装破损，联系客服他们客服乱联系。,,,,【热销爆款】水润保湿面膜10片,2020-02-25 12:14,
****0,,"<div class=""comment-star star1""></div>",明明是10片，可是打开包装只有9片！???什么情况？不开森,水润保湿面膜10片,2016-08-23 11:52,,,,
符***芳,PLUS会员,"<div class=""comment-star star1""></div>",一般般，没什么感觉。不过又不知道买什么。,水润保湿面膜,,,,,2019-01-12 13:22
****v,,"<div class=""comment-star star1""></div>",产品质感：不是正品很大的香精味,【补水保湿】水润面膜,2020-09-17 20:08,,,,
暖***意,PLUS会员,"<div class=""comment-star star1""></div>",这是换货后的货，懒得说了，也懒得换了。,【热销爆款】水润保湿面膜,,,,,2019-11-15 10:53
本***啊,PLUS会员,"<div class=""comment-star star1""></div>",为什么包装都已经被拆了？？盒子上有很多褶皱。。？？,,,2018-09-27 21:44,水润保湿面膜10片,,
W***米,,"<div class=""comment-star star1""></div>",包装是打开的而且敷完脸上有沉淀物,水润保湿面膜10片,2018-05-19 18:25,,,,
1***1,PLUS会员,"<div class=""comment-star star1""></div>",不好用，水份太少，效果差。,水润保湿面膜10片,2017-05-08 19:31,,,,
1***p,,"<div class=""comment-star star1""></div>",价格不低，补水效果不好，下次你买了！,水润保湿面膜10片,2017-12-27 00:02,,,,
阿***啊,,"<div class=""comment-star star1""></div>",买完就降价，老子就是不爽?,水润保湿面膜10片,,,,,
****S,,"<div class=""comment-star star1""></div>",很贴合我的脸但是我感觉并不补水,【热销爆款】水润保湿面膜10片,,,,,2020-01-17 11:11
雨***默,PLUS会员,"<div class=""comment-star star1""></div>",盒子全烂了，面膜倒是没损坏，懒得退了,,,,水润保湿面膜,2018-11-13 20:35,
****e,PLUS会员,"<div class=""comment-star star1""></div>",和之前买的不一样，感觉比较假,水润保湿面膜10片,2017-05-23 22:38,,,,
****C,,"<div class=""comment-star star1""></div>",货品有问题，不敢使用，扔掉了,水润保湿面膜10片,2016-09-10 19:46,,,,
w***z,PLUS会员,"<div class=""comment-star star1""></div>",产品质感：这次质量比较差感觉买到假货了,【热销爆款】水润保湿面膜,2020-07-04 22:52,,,,
p***C,,"<div class=""comment-star star1""></div>",不好用，比以前的差多了，这次的好像假的,水润保湿面膜,,,,,2019-09-23 01:36
南***9,,"<div class=""comment-star star1""></div>",怀疑是@的，用了过敏，脸疼发红,水润保湿面膜10片,2018-09-18 15:38,,,,
n***7,,"<div class=""comment-star star1""></div>",刚买京东上面就狂降价贵了两倍C你M,水润保湿面膜10片,2017-06-17 20:18,,,,
****c,,"<div class=""comment-star star1""></div>",到货也没任何电话短信通知，我要去哪拿快递啊！！！,水润保湿面膜10片,2017-10-13 08:43,,,,
w***x,PLUS会员,"<div class=""comment-star star1""></div>",东西在哪里？我没收到，没有任何人联系我,水润保湿面膜10片,2018-03-09 14:56,,,,
7***4,,"<div class=""comment-star star1""></div>",感觉不是真的，跟实体店和香港买的不一样,水润保湿面膜10片,2017-10-11 22:45,,,,
不***8,,"<div class=""comment-star star1""></div>",感觉不是真的，跟我原来在店里买的不一样,水润保湿面膜10片,2017-11-13 23:29,,,,
不***的,PLUS会员,"<div class=""comment-star star1""></div>",动不动降价，没事搞不懂，总是*，简直折磨人,水润保湿面膜10片,2016-12-29 02:23,,,,
u***e,,"<div class=""comment-star star1""></div>",别家卖*你卖双倍价钱还新老包装随机发，你是有多坑？！,水润保湿面膜10片,2016-12-01 10:33,,,,
q***o,,"<div class=""comment-star star1""></div>",像是假货，皮肤过敏，脸部不舒服,水润保湿面膜10片,2017-09-30 00:07,,,,
H***童,,"<div class=""comment-star star1""></div>",啥面膜，用了一贴直接脸过敏，满脸都红了,水润保湿面膜10片,,,,,
阿***6,,"<div class=""comment-star star1""></div>",这个不是正品吧，我用的跟这不太一样。,水润保湿面膜10片,,,,,
何***8,,"<div class=""comment-star star1""></div>",刚刚买完一两天就降价了，还不给保价，真的是醉了,【热销爆款】水润保湿面膜,,,,,2019-11-04 08:12
Y***G,PLUS会员,"<div class=""comment-star star1""></div>",哎，每次都买不到厚的，感觉有点假.....,,,,水润保湿面膜,2019-09-11 12:03,
****e,PLUS会员,"<div class=""comment-star star1""></div>",京东促销就是把压烂包装的次品往外卖？,,,2016-11-13 11:34,水润保湿面膜10片,,
1***华,,"<div class=""comment-star star1""></div>",不好用，不服帖，有些失望,水润保湿面膜10片,2018-08-10 00:14,,,,
滑***0,,"<div class=""comment-star star1""></div>",为什么比**贵了一大半瞬间感觉被蒙了,水润保湿面膜10片,2017-09-22 16:00,,,,
****0,,"<div class=""comment-star star1""></div>",买完就降价。128买的。现在72真是服了,水润保湿面膜10片,2017-09-12 14:09,,,,
d***8,,"<div class=""comment-star star1""></div>",不是特别好用，几百块包装我也是呵呵了,,,2018-06-28 10:47,水润保湿面膜10片,,
****1,,"<div class=""comment-star star1""></div>",没有钢印，假货，用了会长痘痘,水润保湿面膜10片,2017-11-18 07:39,,,,
****v,PLUS会员,"<div class=""comment-star star1""></div>",说好的不拆。怎么开了。而且包装都压坏了。,,,2016-05-10 14:27,针剂水库补水保湿面膜25ml*10,,
****q,,"<div class=""comment-star star1""></div>",是假货和我之前用的不一样,水润保湿面膜10片,2016-10-31 20:44,,,,
青***e,,"<div class=""comment-star star1""></div>",明显没有以前效果好，假货，,【热销爆款】水润保湿面膜,,,,,2019-10-30 07:23
沈***哥,,"<div class=""comment-star star1""></div>",不好，老婆说没有以前用的好，说是假的,水润保湿面膜,,,,,2019-01-28 11:05
S***g,PLUS会员,"<div class=""comment-star star1""></div>",这几年都是敷这个面膜，但是面膜纸的质量越来越差了。,水润保湿面膜,,,,,2019-07-28 20:30
****j,,"<div class=""comment-star star1""></div>",感觉搞活动后的不如以前的好了的，,【热销爆款】水润保湿面膜10片,,,,,2020-03-22 07:29
a***海,,"<div class=""comment-star star1""></div>",没有店里的好都不要再买韩国的东西谢谢,水润保湿面膜10片,,,,,
****C,,"<div class=""comment-star star1""></div>",这是怎么回事，刚买回来就降价了，并且降价一半,水润保湿面膜10片,2017-11-11 08:05,,,,
****v,,"<div class=""comment-star star1""></div>",国产的，用完又黑又油，不会再来京东买了,水润保湿面膜10片,,,,,
****f,,"<div class=""comment-star star1""></div>",和第一次买的感觉有差距像假的，不会在买了，懒得退货,水润保湿面膜,,,,,2018-11-17 11:18
B***1,PLUS会员,"<div class=""comment-star star1""></div>",没啥效果不值得买棒子的东西买他干啥,水润保湿面膜10片,2018-04-26 07:37,,,,
y***1,PLUS会员,"<div class=""comment-star star1""></div>",感觉不是真的，没有在*旗舰店的好,水润保湿面膜10片,2017-07-06 20:13,,,,
****f,,"<div class=""comment-star star1""></div>",没水阿阿威阿吧把阿舅了宝宝,水润保湿面膜10片,2018-05-12 15:14,,,,
小***G,PLUS会员,"<div class=""comment-star star1""></div>",假的，和在韩国买的不一样。。。。。。。。。,水润保湿面膜10片,2016-12-07 09:26,,,,
****z,,"<div class=""comment-star star1""></div>",4盒面膜包装盒全部破损,【玄彬同款】水润面膜,2021-03-03 11:48,,,,
u***s,,"<div class=""comment-star star1""></div>",什么情况，包装如此之差,,,2021-04-26 11:08,【玄彬同款】水润面膜,,
Q***p,,"<div class=""comment-star star1""></div>",我的脸有点不受这个，做了两次就不敢做了,水润保湿面膜10片,,,,,
淡***叔,PLUS会员,"<div class=""comment-star star1""></div>",老婆买的面膜，拆开一看是韩国货，严厉批评了她，*。*,,,,水润保湿面膜10片,,
C***0,,"<div class=""comment-star star1""></div>",东西应该不是正品，包装像是被拆过，厂地是广州的。,水润保湿面膜10片,2017-12-19 19:49,,,,
****d,,"<div class=""comment-star star1""></div>",有一盒是拆开的！而且还少一片！,【补水保湿】水润面膜,2020-11-30 17:14,,,,
u***n,,"<div class=""comment-star star1""></div>",先不说面膜好不好把，拿回来盒子都压扁了,,,2017-10-02 15:06,水润保湿面膜10片,,
****j,,"<div class=""comment-star star1""></div>",敷一张之后脸都红了不敢用了,水润保湿面膜,,,,,2018-11-13 22:45
****e,,"<div class=""comment-star star1""></div>",到货后快递包装完好，但是产品包装明显是被拆过的,水润保湿面膜10片,2017-12-17 19:15,,,,
小***6,,"<div class=""comment-star star1""></div>",感觉不是真的。敷完脸上一层搓泥,水润保湿面膜10片,2017-11-11 23:35,,,,
x***p,,"<div class=""comment-star star1""></div>",买的时候128，现在成65了我还能说什么好？,水润保湿面膜10片,2017-08-11 00:38,,,,
****后,,"<div class=""comment-star star1""></div>",感觉像是被拆过，不知道真假，先用用再说吧！,,,2016-09-01 12:42,水润保湿面膜10片,,
****a,,"<div class=""comment-star star1""></div>",收到第一感觉就不是正平，和我在商场买的包装盒不一样,水润保湿面膜10片,2017-08-08 12:13,,,,
d***5,,"<div class=""comment-star star1""></div>",怎么也是一百多块钱的东西，收到货就是如图打开的状态,,,2018-06-07 19:27,水润保湿面膜10片,,
明***9,,"<div class=""comment-star star1""></div>",一般，感觉和之前买的正品不太一样。精华太少,水润保湿面膜,,,,,2019-01-26 09:43
****a,PLUS会员,"<div class=""comment-star star1""></div>",货都发错，问客服不清楚，难道发货不确认吗,,,2020-11-03 19:44,【补水保湿】水润面膜,,
初***啊,,"<div class=""comment-star star1""></div>",感觉第二次买的好假，和第一次买的不一样。,水润保湿面膜10片,2017-05-28 20:20,,,,
d***u,,"<div class=""comment-star star1""></div>",用了两年了，这回买的感觉不对，包装粗糙。希望能得到解释!,,,2018-05-09 20:23,水润保湿面膜10片,,
3***m,,"<div class=""comment-star star1""></div>",为什么每次送到的包装都是打开的啥意思？难道造假吗？,,,2018-04-11 12:20,水润保湿面膜10片,,
1***1,,"<div class=""comment-star star1""></div>",没达到意想的效果，送货速度慢,针剂水库补水保湿面膜25ml*10,2016-06-14 19:21,,,,
呔***兽,,"<div class=""comment-star star1""></div>",包装拆开过，暂时没用不知道效果怎么样,水润保湿面膜10片,2017-05-03 03:00,,,,
****e,,"<div class=""comment-star star1""></div>",感觉是假货喔，不是韩国的，应该是国货，哎，买了就懒得退了,水润保湿面膜10片,2017-11-18 23:15,,,,
u***d,,"<div class=""comment-star star1""></div>",不给力，包装都坏了，也不象正品,,,,,,
g***6,,"<div class=""comment-star star1""></div>",真的不像正品，有点刺激，用了长痘,水润保湿面膜,,,,,2018-11-07 09:54
n***K,,"<div class=""comment-star star1""></div>",不好用，还不如我*贴的，买东西需谨慎,水润保湿面膜10片,,,,,
****2,,"<div class=""comment-star star1""></div>",这次买的好像是假的?和以前用的不一样。,水润保湿面膜10片,2017-09-11 20:12,,,,
葱***贝,PLUS会员,"<div class=""comment-star star1""></div>",送的赠品都已经干了，过期了吧？还不如不送,【补水保湿】水润面膜,2020-11-03 16:14,,,,
u***g,,"<div class=""comment-star star1""></div>",感觉不像真的因为一点也不粘稠…,水润保湿面膜10片,2016-07-31 22:39,,,,
****B,,"<div class=""comment-star star1""></div>",买完降价，包装盒破损的。,【玄彬同款】水润面膜,2021-01-24 14:40,,,,
****j,,"<div class=""comment-star star1""></div>",一打开就是这样，不知道能不能用,,,2018-07-21 12:08,水润保湿面膜10片,,
m***8,PLUS会员,"<div class=""comment-star star1""></div>",过敏，感觉假货，希望引以为戒。。。。。。,水润保湿面膜,,,,,2019-05-28 00:57
宛***心,,"<div class=""comment-star star1""></div>",刚买了几天就降价了，而且包装盒看起来像被拆,【热销爆款】水润保湿面膜10片,,,,,2020-02-28 10:10
刚***c,,"<div class=""comment-star star1""></div>",用后过敏，以前在别处买的就没问题,水润保湿面膜10片,,,,,
****9,,"<div class=""comment-star star1""></div>",假货，跟在屈臣氏买的不一样。,【玄彬同款】水润面膜,2021-06-08 10:01,,,,
****T,,"<div class=""comment-star star1""></div>",不知道还能不能再假一点儿，并且不能退货,水润保湿面膜10片,2018-01-16 13:36,,,,
z***淼,PLUS会员,"<div class=""comment-star star1""></div>",感觉不太好，可能是年龄大了,【热销爆款】水润保湿面膜10片,,,,,2020-02-26 08:40
1***p,,"<div class=""comment-star star1""></div>",怀疑是假货，面膜纸和味道都不一样，扔了,水润保湿面膜10片,2016-11-13 16:14,,,,
t***4,,"<div class=""comment-star star1""></div>",少发了10盒货，共要了20盒，申请售后关闭，不予受理！该怎么弄！,,,,水润保湿面膜,2018-11-15 08:45,
****2,,"<div class=""comment-star star1""></div>",收到后东西是打开的盒子也烂的要不是怕麻烦都想退了,水润保湿面膜10片,2018-06-07 11:39,,,,
****~,,"<div class=""comment-star star1""></div>",慎重考虑，东西质量不行。客服服务态度不好。,【玄彬同款】水润面膜,2020-12-24 13:55,,,,
****r,,"<div class=""comment-star star1""></div>",刚买来两天就降价，每件还降十几元，根本不值得购买,水润保湿面膜,,,,,2019-09-09 21:55
u***6,,"<div class=""comment-star star1""></div>",假货，一直很信任京东的！,,,2021-05-02 20:11,【玄彬同款】水润面膜,,
b***7,,"<div class=""comment-star star1""></div>",也就那样吧，老婆说用了没啥效果,【热销爆款】水润保湿面膜,2020-07-18 14:38,,,,
****r,,"<div class=""comment-star star1""></div>",这是假的，和我韩国用的不一样,【补水保湿】水润面膜,2020-11-23 22:34,,,,
v***阳,PLUS会员,"<div class=""comment-star star1""></div>",我媳妇说，材质和以前的貌似不同！打折买的,水润保湿面膜10片,2018-01-08 12:50,,,,
b***U,,"<div class=""comment-star star1""></div>",买了才知道是韩国鬼子的，可惜拆了退不了,水润保湿面膜10片,,,,,
罗***侠,PLUS会员,"<div class=""comment-star star1""></div>",侵犯用户隐私，这一分是给京东的。,【补水保湿】水润面膜,2020-11-14 10:19,,,,
1***p,,"<div class=""comment-star star1""></div>",为什么我用了这个破面膜脸上长了很多痘,水润保湿面膜10片,2017-07-11 19:08,,,,
g***e,,"<div class=""comment-star star1""></div>",不好用，黏糊糊的，跟脸型也匹配不上,【补水保湿】水润面膜,2020-11-24 20:07,,,,
f***1,PLUS会员,"<div class=""comment-star star1""></div>",一直在用这个牌子的面膜，不过昨天用了一下觉得不像真的,水润保湿面膜10片,2017-07-08 13:12,,,,
x***L,,"<div class=""comment-star star1""></div>",标价是112却收了我144我申请退款了还给我发过来真是不开心,水润保湿面膜10片,2016-11-11 23:43,,,,
之***1,PLUS会员,"<div class=""comment-star star1""></div>",还而已，不知道是不是正品，先用着,水润保湿面膜10片,2016-12-07 15:51,,,,
O***A,,"<div class=""comment-star star1""></div>",二维码查不到，用了一个脸就通红还起痘?,水润保湿面膜,,,,,2019-08-01 14:00
****a,,"<div class=""comment-star star1""></div>",面膜有点厚精华不多不好用,水润保湿面膜,,,,,2019-09-20 21:29
B***哥,,"<div class=""comment-star star1""></div>",没有水分，打开都是干的。?,【热销爆款】水润保湿面膜10片,,,,,2020-06-05 20:03
u***v,,"<div class=""comment-star star1""></div>",打开快递就发现一盒被拆开了,,,2021-05-05 21:45,【玄彬同款】水润面膜,,
不***i,,"<div class=""comment-star star1""></div>",不好用假货跟我在实体店买的完全不一样,【热销爆款】水润保湿面膜,,,,,2019-11-09 21:05
****c,,"<div class=""comment-star star1""></div>",补水效果：用了两次，都没得啥子变化，跟没用一样,水润保湿面膜,,,,,2019-10-10 09:10
_***_,,"<div class=""comment-star star1""></div>",盒子都扁了，好不好用还不知道。物流也慢,,,2017-11-14 17:48,水润保湿面膜10片,,
****亾,,"<div class=""comment-star star1""></div>",包装破损，就像是认为拆开过的，不得不怀疑是假货,,,2018-05-16 10:09,水润保湿面膜10片,,
闽***间,PLUS会员,"<div class=""comment-star star1""></div>",买了刚过7天就降价，也不知道是不是正品,【补水保湿】水润面膜,2020-11-03 22:25,,,,
老***猫,,"<div class=""comment-star star1""></div>",宣传是2点之前下单4件送礼品，到了就4件面膜,【补水保湿】水润面膜,2020-11-13 12:20,,,,
****2,PLUS会员,"<div class=""comment-star star1""></div>",开封了的！和之前那些朋友的一样，开封了的！,针剂水库补水保湿面膜25ml*10,2016-05-25 09:04,,,,
****c,,"<div class=""comment-star star1""></div>",面膜比较干，不点都不滋润,【热销爆款】水润保湿面膜,2020-07-02 14:33,,,,
u***j,,"<div class=""comment-star star1""></div>",面膜干巴巴的，一点水都没，浪费钱,【补水保湿】水润面膜,2020-09-06 19:44,,,,
****z,PLUS会员,"<div class=""comment-star star1""></div>",刚买上就降价，现在99元20片，真有意思。。。,水润保湿面膜10片,2018-06-18 14:52,,,,
****l,PLUS会员,"<div class=""comment-star star1""></div>",还没用，拿回来拆开是这样子的，感觉不是正品,,,2018-09-02 18:07,水润保湿面膜10片,,
****8,,"<div class=""comment-star star1""></div>",和以前用的都不一样，是买假了吧…,针剂水库补水保湿面膜25ml*10,2016-05-29 21:32,,,,
****k,,"<div class=""comment-star star1""></div>",第一次买，但是经过测评，感觉这是假货……,,,2018-06-13 21:41,水润保湿面膜10片,,
****j,PLUS会员,"<div class=""comment-star star1""></div>",感觉是假的！用了脸泛红，不舒服！,【热销爆款】水润保湿面膜10片,,,,,2020-03-01 00:30
****w,,"<div class=""comment-star star1""></div>",包装简陋，不知道是不是正品,【玄彬同款】水润面膜,2021-04-19 12:28,,,,
霸***然,,"<div class=""comment-star star1""></div>",补水的居然这么油面膜还小JH,水润保湿面膜,,,,,2019-04-23 22:15
疯***6,,"<div class=""comment-star star1""></div>",一直相信京东，昨天刚用，今天就发痒红肿，到现在还没下下来。,水润保湿面膜10片,2018-03-21 21:29,,,,
****9,,"<div class=""comment-star star1""></div>",不好用，一点效果都没有,【补水保湿】水润面膜,2020-11-30 21:21,,,,
2***5,,"<div class=""comment-star star1""></div>",才买第二天就降价，还有一盒都没有到亏好多买了三盒,水润保湿面膜10片,2017-07-20 15:46,,,,
宝***8,,"<div class=""comment-star star1""></div>",昨天买的，今天就降价降了几十，再也不在京东买东西了，呵呵,,,,水润保湿面膜,2018-12-14 17:38,
****h,,"<div class=""comment-star star1""></div>",不知道是不是真品，但是我用着过敏,,,2018-01-26 13:07,水润保湿面膜10片,,
郭***文,,"<div class=""comment-star star1""></div>",面膜用着没效果啊，感觉是假的，大家别买了,水润保湿面膜10片,,,,,
****y,,"<div class=""comment-star star1""></div>",写着套装勿拆却是拆开的，还能怎么说,,,2016-05-27 09:27,针剂水库补水保湿面膜25ml*10,,
g***9,PLUS会员,"<div class=""comment-star star1""></div>",补水效果：一般了，总之没有之前好了！！！,【补水保湿】水润面膜,2020-10-02 22:19,,,,
1***y,,"<div class=""comment-star star1""></div>",买了两个不一样的，送来包装盒都是开的，这是什么情况,,,2018-06-11 10:54,水润保湿面膜10片,,
****c,,"<div class=""comment-star star1""></div>",买来送人的，但是过期了过期了过期了！,水润保湿面膜10片,2018-01-23 16:46,,,,
****e,,"<div class=""comment-star star1""></div>",为什么一拿到就开过了？给个解释,,,2021-06-02 19:28,【玄彬同款】水润面膜,,
果***8,,"<div class=""comment-star star1""></div>",膜很粗糙很厚，没有以前用的质量好,水润保湿面膜10片,2017-12-12 20:40,,,,
****9,,"<div class=""comment-star star1""></div>",牌子的包装都这么简陋，寄到的时候外包装已经破损了。,,,,水润保湿面膜,2019-07-27 15:01,
l***o,PLUS会员,"<div class=""comment-star star1""></div>",包装都是这样的不知道是不是正品一拿面膜都出来了,,,,水润保湿面膜,2019-06-05 13:26,
初***冬,PLUS会员,"<div class=""comment-star star1""></div>",就是随便拿个产品盒给我装10片，干脆给10片散装算了。,水润保湿面膜,,,,,2019-08-05 13:07
h***8,,"<div class=""comment-star star1""></div>",感觉不咋好用，补水效果不咋样！,【热销爆款】水润保湿面膜10片,,,,,2020-03-20 19:23
L***N,,"<div class=""comment-star star1""></div>",用了之后过敏了，整个脸都肿起来了,水润保湿面膜10片,2018-07-17 14:28,,,,
段***明,,"<div class=""comment-star star1""></div>",***果然名不虚传穿哎…看得换了,,,,水润保湿面膜,2018-10-18 20:31,
****i,,"<div class=""comment-star star1""></div>",这么敷衍的么？里面的东西都出来了,,,2020-06-19 16:31,【热销爆款】水润保湿面膜,,
5***D,,"<div class=""comment-star star1""></div>",没有第一次买的好，觉得不咋样，好像假的，盒子也不一样,,,,水润保湿面膜,2019-09-24 13:28,
****6,,"<div class=""comment-star star1""></div>",和我以前用的不一样，感觉不是真的,水润保湿面膜,,,,,2019-05-12 09:51
****c,,"<div class=""comment-star star1""></div>",好像是假的，为什么送过来包装盒都是开的,【玄彬同款】水润面膜,2020-12-16 14:41,,,,
梦***_,,"<div class=""comment-star star1""></div>",包装是坏的上面是密封的下面已经破损了,,,2018-03-10 17:02,水润保湿面膜10片,,
龙***门,,"<div class=""comment-star star1""></div>",买来送人，后来才发现120一袋，这价格两包绰绰有余！,水润保湿面膜10片,2017-11-17 15:36,,,,
s***y,PLUS会员,"<div class=""comment-star star1""></div>",为什么包装都是烂的，感觉让人偷龙转凤了。,水润保湿面膜10片,2018-01-12 20:41,,,,
****8,,"<div class=""comment-star star1""></div>",包装没有封口竟然还掉渣！！！！！！,水润保湿面膜,,,,,2019-08-06 20:49
****子,,"<div class=""comment-star star1""></div>",跟照片不符，无银色的贴，分明是拿50多的糊弄事！,水润保湿面膜10片,2016-11-28 14:52,,,,
森***y,,"<div class=""comment-star star1""></div>",产品质感：感觉升级款的面膜纸不是很好,水润保湿面膜,,,,,2019-10-25 11:33
A***苏,,"<div class=""comment-star star1""></div>",不好盒子被打开了面膜不知道用着什么样,水润保湿面膜10片,2017-09-14 19:20,,,,
H***U,,"<div class=""comment-star star1""></div>",买的时候收了邮费，现在为什么让知己去取？,水润保湿面膜10片,,,,,
1***s,,"<div class=""comment-star star1""></div>",呵呵，买回来两天，还没开始用，就给我从128，特价50多，降了一半多，呵呵,水润保湿面膜10片,2017-08-08 14:02,,,,
H***y,PLUS会员,"<div class=""comment-star star1""></div>",不好用，用了脸辣辣的，价格还不稳定,水润保湿面膜,,,,,2019-05-28 14:06
****V,,"<div class=""comment-star star1""></div>",和香港买的差好多，干干瘪瘪的，是@货来的吧,水润保湿面膜10片,2018-09-10 23:46,,,,
_***阿,,"<div class=""comment-star star1""></div>",产品质感：假货使用感受：假适合肤质：不知道补水效果：一般,水润保湿面膜,,,,,2019-09-15 12:38
u***n,,"<div class=""comment-star star1""></div>",生产日期比别人晚，生产批次比别人早！这是哪里来的混账逻辑,,,2018-08-29 14:35,水润保湿面膜10片,,
魏***爽,PLUS会员,"<div class=""comment-star star1""></div>",质量非常差应该不是正品含酒精大家不要上当,【补水保湿】水润面膜,2020-11-01 00:39,,,,
****a,,"<div class=""comment-star star1""></div>",面膜都干了！精华液在哪呢？,【热销爆款】水润保湿面膜,2020-06-26 21:24,,,,
****I,PLUS会员,"<div class=""comment-star star1""></div>",刚到货还没用，四盒全部查不到授权码，假不假我也不知道,,,,【热销爆款】水润保湿面膜10片,2020-02-13 11:57,
风***凉,PLUS会员,"<div class=""comment-star star1""></div>",不怎么好用，基本没效果。谁用谁上当。,水润保湿面膜10片,,,,,
3***.,,"<div class=""comment-star star1""></div>",jia货，不是真的，还敏感发布不了。期瞒消费者,水润保湿面膜10片,2017-06-28 07:41,,,,
****8,,"<div class=""comment-star star1""></div>",感觉是假货，包装简陋，跟官网上的不一样,水润保湿面膜10片,2016-08-11 14:45,,,,
1***p,PLUS会员,"<div class=""comment-star star1""></div>",一点不滋润后悔还办卡了,【玄彬同款】水润面膜,2021-03-29 10:39,,,,
****k,,"<div class=""comment-star star1""></div>",盒子有点破损，影响心情，收件地址也不对,,,,【热销爆款】水润保湿面膜10片,2020-01-12 08:54,
麦***曼,,"<div class=""comment-star star1""></div>",拆箱之后包装都是打开过的？什么意思联系客服也不管？,,,,水润保湿面膜,2019-08-06 19:30,
****e,,"<div class=""comment-star star1""></div>",面膜是假的，跟家里买的相同的牌子完全不一样！,【热销爆款】水润保湿面膜,2020-07-16 22:31,,,,
情***u,,"<div class=""comment-star star1""></div>",用了好久这个产品这次买来用了起满脸的红疙瘩确定是假货,水润保湿面膜,,,,,2019-09-29 13:50
l***k,PLUS会员,"<div class=""comment-star star1""></div>",收到还没用，怀疑中，因为盒子都烂了，脏乎乎的,,,,水润保湿面膜,2019-06-24 10:56,
a***7,PLUS会员,"<div class=""comment-star star1""></div>",快递都损坏了，里面的面膜都被开了,,,2021-06-03 15:55,【玄彬同款】水润面膜,,
u***y,,"<div class=""comment-star star1""></div>",送到外包装破损，里面产品都是散的，京东快递很京喜,,,,【热销爆款】水润保湿面膜,2019-11-12 16:53,
j***n,,"<div class=""comment-star star1""></div>",价格还是原价但是199买四保价都没办法，不高兴没空退就这吧,水润保湿面膜,,,,,2019-05-24 09:42
w***0,,"<div class=""comment-star star1""></div>",给人一种二手货的感觉，有开过的痕迹,,,2020-11-11 20:23,【补水保湿】水润面膜,,
****m,,"<div class=""comment-star star1""></div>",和以前买的不一样，没有多少精华液，怀疑假货,水润保湿面膜10片,2017-05-14 23:30,,,,
****0,PLUS会员,"<div class=""comment-star star1""></div>",没有退差价，刚到货的时候价格就变了，价格一直在变动,水润保湿面膜10片,,,,,
q***i,,"<div class=""comment-star star1""></div>",连里面的包装都是被拆过的这个商家有问题,,,2018-05-19 17:26,水润保湿面膜10片,,
u***m,,"<div class=""comment-star star1""></div>",货都不知道送那里去了，怎么评价，一个多星期了都没有理,水润保湿面膜10片,2018-03-06 22:50,,,,
丿***爱,,"<div class=""comment-star star1""></div>",这回买的为什么每次贴脸都红痒一块一块地，是不是假的,水润保湿面膜10片,2017-11-23 06:47,,,,
u***n,,"<div class=""comment-star star1""></div>",跟我在免税店买的没法比，一点都没那种感觉,水润保湿面膜,,,,,2019-08-27 00:13
王***主,PLUS会员,"<div class=""comment-star star1""></div>",跟上次买的不一样不一样不一样,水润保湿面膜10片,2016-09-07 09:47,,,,
****7,,"<div class=""comment-star star1""></div>",第一次碰到这样动物事情，买了四盒被拆开了3盒，,,,,水润保湿面膜,2019-06-09 12:53,
h***1,,"<div class=""comment-star star1""></div>",本来是要买来送好姐妹的，收到货变这样了根本送来出手,,,2018-04-25 09:21,水润保湿面膜10片,,
酷***厘,PLUS会员,"<div class=""comment-star star1""></div>",包装简陋，和别的东西放一起，就个快递盒子,水润保湿面膜,,,,,2019-02-17 16:59
****f,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,【玄彬同款】水润面膜,2021-04-18 22:21,,,,
****u,,"<div class=""comment-star star1""></div>",使用感受：不好用，不是正品，物流倒是很快两天到了,【热销爆款】水润保湿面膜,,,,,2019-11-24 21:12
x***c,,"<div class=""comment-star star1""></div>",以前朋友从韩货代购过，跟以前用的完全不一样,水润保湿面膜10片,2017-11-17 22:02,,,,
****i,,"<div class=""comment-star star1""></div>",这个活动完全就是为了促销买来还有一个月就要过期了,【热销爆款】水润保湿面膜10片,,,,,2020-04-06 16:29
****i,,"<div class=""comment-star star1""></div>",和以前用的一点儿也不一样，不好用，,水润保湿面膜,,,,,2019-03-06 15:20
