用户名,会员,星级,评论,采集时间,类型1,评论时间1,类型2,评论时间2,评论时间3,评论时间4
****f,,"<div class=""comment-star star3""></div>",到货了，还没有使用，不知效果咋样,10:39.5,水润保湿面膜10片,2016/12/28 10:55,,,,
****8,PLUS会员,"<div class=""comment-star star3""></div>",这是第三次买美迪，也是最后一次,10:39.6,【补水保湿】水润面膜,2020/11/1 7:23,,,,
格***特,,"<div class=""comment-star star3""></div>",用了一次过敏就没用了,10:39.6,水润保湿面膜10片,,,,,2017/3/11 20:03
****c,,"<div class=""comment-star star3""></div>",还是勉强可以的但是不是非常满意,10:39.9,水润保湿面膜10片,2018/6/1 8:58,,,,
****y,,"<div class=""comment-star star3""></div>",还可以吧精华不是很多,10:40.0,【补水保湿】水润面膜,2020/11/18 12:32,,,,
****i,PLUS会员,"<div class=""comment-star star3""></div>",补水保湿还不错。有点儿油腻,10:40.0,,,水润保湿面膜,2018/11/21 23:51,,
u***v,,"<div class=""comment-star star3""></div>",好厚的面膜啊营养液也不多哎失望,10:40.1,水润保湿面膜10片,2016/12/1 20:58,,,,
佳***T,,"<div class=""comment-star star3""></div>",还好吧使用着，比较水润补水,10:40.2,【热销爆款】水润保湿面膜,,,,,
A***s,,"<div class=""comment-star star3""></div>",打开就是这样，包装可以走点心吗?,10:40.2,,,【补水保湿】水润面膜,,2020/8/14 18:35,
x***6,PLUS会员,"<div class=""comment-star star3""></div>",个回购的，趁着做活动先屯着，划算，好用,10:40.3,水润保湿面膜,,,,,
u***a,,"<div class=""comment-star star3""></div>",还可以补水效果也还行用完再买,10:40.3,水润保湿面膜10片,2016/9/30 22:10,,,,
****C,,"<div class=""comment-star star3""></div>",补水效果：还可以第一次用朋友推荐的,10:40.4,,,【热销爆款】水润保湿面膜10片,2019/12/30 11:18,,
3***2,PLUS会员,"<div class=""comment-star star3""></div>",效果有待观察。。。。。不知道如何辨别真伪,10:40.5,,,,,,
****r,,"<div class=""comment-star star3""></div>",也不是可莱丝啊，应该是仿的吧，还没用呢,10:40.8,水润保湿面膜10片,2016/10/21 21:16,,,,
****0,PLUS会员,"<div class=""comment-star star3""></div>",效果不错，面膜价格碾压混凝土搅拌车,10:40.8,水润保湿面膜,,,,,
****0,,"<div class=""comment-star star3""></div>",4盒都是18年的，这是双11清仓吗,10:40.9,,,【补水保湿】水润面膜,,2020/11/12 12:45,
****2,PLUS会员,"<div class=""comment-star star3""></div>",每次都是搞活动时候囤货，放着慢慢用,10:40.9,,,水润保湿面膜10片,,2017/11/13 12:59,
****W,,"<div class=""comment-star star3""></div>",面膜纸很厚里面精华很少,10:40.9,【补水保湿】水润面膜,2020/11/15 9:05,,,,
w***3,,"<div class=""comment-star star3""></div>",总体还行吧，比较之前买的有点不一样,10:41.0,水润保湿面膜10片,2017/12/19 14:21,,,,
如***3,,"<div class=""comment-star star3""></div>",播放器视频c按摩远东www的额度我的,10:41.0,水润保湿面膜10片,,,,,2017/3/4 9:56
u***6,,"<div class=""comment-star star3""></div>",现在贴了之后暂时没发现有什么效果,10:41.1,水润保湿面膜10片,2016/11/27 8:02,,,,
y***i,PLUS会员,"<div class=""comment-star star3""></div>",使用感受：一般。。。补水效果：一般。。。,10:41.1,【补水保湿】水润面膜,2020/9/22 22:08,,,,
b***8,,"<div class=""comment-star star3""></div>",和以前买的不一样了，之前特别好用,10:41.2,【热销爆款】水润保湿面膜10片,,,,,
****a,PLUS会员,"<div class=""comment-star star3""></div>",这款面膜还没用过，用过后追加评价。,10:41.5,水润保湿面膜10片,2018/7/23 8:07,,,,
y***0,,"<div class=""comment-star star3""></div>",冬天皮肤干，应该多敷面膜。,10:41.5,,,【补水保湿】水润面膜,,2020/11/24 10:44,
z***9,PLUS会员,"<div class=""comment-star star3""></div>",产品质感：一般使用感受：一般适合肤质：知道,10:41.6,【补水保湿】水润面膜,2020/10/2 19:07,,,,
乌***茶,,"<div class=""comment-star star3""></div>",送货快，东西也不错，一直信赖京东！,10:41.6,水润保湿面膜10片,2016/12/26 10:02,,,,
****1,,"<div class=""comment-star star3""></div>",还没用快递很快只是收到货是这样的,10:41.7,,,水润保湿面膜10片,,2017/4/19 17:02,
小***0,,"<div class=""comment-star star3""></div>",水分足，不知是否正品。618时候，52一盒。,10:41.8,,,水润保湿面膜10片,,2017/6/22 5:16,
c***n,PLUS会员,"<div class=""comment-star star3""></div>",还可以，但感觉不如我在店里买的水多,10:41.8,【热销爆款】水润保湿面膜,,,,,
u***d,,"<div class=""comment-star star3""></div>",每日期，二维码还是双层，包装还行，快递小哥很赞,10:41.9,,,水润保湿面膜10片,,2017/4/24 11:17,
S***v,,"<div class=""comment-star star3""></div>",送来盒子已经开了，不过很快上午下单下午到,10:42.0,,,水润保湿面膜10片,,2018/4/26 20:50,
山***人,PLUS会员,"<div class=""comment-star star3""></div>",虽说五盒一起买便宜很多，但是，质量没有单盒买的好,10:42.0,,,水润保湿面膜,2019/3/21 12:33,,
C***1,,"<div class=""comment-star star3""></div>",没有用过，不知道咋样，哈哈哈,10:42.4,水润保湿面膜10片,,,,,2017/2/15 20:12
L***1,PLUS会员,"<div class=""comment-star star3""></div>",还可以，眼角开的有点大。。。,10:42.4,【补水保湿】水润面膜,2020/9/11 22:46,,,,
刘***竹,PLUS会员,"<div class=""comment-star star3""></div>",包装太烂了，配送小哥的服务优秀，物流很效率。,10:42.5,水润保湿面膜10片,,,,,2017/1/18 21:07
